,Location,Year,Number,Population,Rate
109,Portland,2011.0,22.0,66222.0,33.2
110,Calais,2011.0,1.0,3018.0,33.1
111,Lewiston,2012.0,12.0,36369.0,33.0
2,Mechanic Falls,2010.0,1.0,3031.0,33.0
3,Mechanic Falls,2015.0,1.0,3040.0,32.9
4,Mechanic Falls,2011.0,1.0,3048.0,32.8
5,Mechanic Falls,2013.0,1.0,3049.0,32.8
6,Alfred,2015.0,1.0,3061.0,32.7
7,Alfred,2016.0,1.0,3061.0,32.7
8,Boothbay,2011.0,1.0,3077.0,32.5
9,Waterville,2013.0,5.0,15541.0,32.2
10,Brewer,2014.0,3.0,9349.0,32.1
11,Lebanon,2016.0,2.0,6240.0,32.1
12,Oakland,2010.0,2.0,6240.0,32.1
13,Livermore Falls,2015.0,1.0,3162.0,31.6
14,Augusta,2010.0,6.0,19136.0,31.4
15,Boothbay,2008.0,1.0,3214.0,31.1
16,Mechanic Falls,2008.0,1.0,3227.0,31.0
17,Newport,2011.0,1.0,3235.0,30.9
18,Norridgewock,2008.0,1.0,3237.0,30.9
19,Newport,2014.0,1.0,3244.0,30.8
20,Newport,2015.0,1.0,3244.0,30.8
21,Newport,2016.0,1.0,3244.0,30.8
22,Lewiston,2016.0,11.0,36308.0,30.3
23,Livermore Falls,2008.0,1.0,3315.0,30.2
24,Portland,2010.0,20.0,66194.0,30.2
25,Lewiston,2009.0,11.0,36550.0,30.1
26,Belfast,2010.0,2.0,6668.0,30.0
27,Norridgewock,2014.0,1.0,3333.0,30.0
28,Norridgewock,2016.0,1.0,3333.0,30.0
29,Norridgewock,2013.0,1.0,3366.0,29.7
30,Orono,2015.0,3.0,10272.0,29.2
31,Fryeburg,2010.0,1.0,3449.0,29.0
32,Clinton,2012.0,1.0,3489.0,28.7
33,Portland,2008.0,18.0,63061.0,28.5
34,Biddeford,2016.0,6.0,21626.0,27.7
35,Bangor,2015.0,9.0,32594.0,27.6
36,Hampden,2012.0,2.0,7270.0,27.5
37,Hampden,2013.0,2.0,7276.0,27.5
38,Litchfield,2011.0,1.0,3648.0,27.4
39,Naples,2008.0,1.0,3649.0,27.4
40,Orrington,2012.0,1.0,3685.0,27.1
41,Dexter,2008.0,1.0,3705.0,27.0
42,Wiscasset,2013.0,1.0,3730.0,26.8
43,Winterport,2012.0,1.0,3759.0,26.6
44,Scarborough,2010.0,5.0,18919.0,26.4
45,Old Town,2016.0,2.0,7690.0,26.0
46,Waterville,2008.0,4.0,15777.0,25.4
47,Lewiston,2008.0,9.0,35942.0,25.0
48,Madawaska,2010.0,1.0,4035.0,24.8
49,Monmouth,2009.0,1.0,4046.0,24.7
50,Wilton,2015.0,1.0,4049.0,24.7
51,Arundel,2016.0,1.0,4100.0,24.4
52,Pittsfield,2016.0,1.0,4105.0,24.4
53,Portland,2009.0,16.0,65829.0,24.3
54,Wilton,2010.0,1.0,4116.0,24.3
55,Pittsfield,2010.0,1.0,4215.0,23.7
56,Pittsfield,2008.0,1.0,4232.0,23.6
57,Millinocket,2013.0,1.0,4248.0,23.5
58,Skowhegan,2011.0,2.0,8501.0,23.5
59,South Portland,2014.0,6.0,25571.0,23.5
60,Millinocket,2015.0,1.0,4288.0,23.3
61,Skowhegan,2008.0,2.0,8581.0,23.3
62,Lyman,2009.0,1.0,4319.0,23.2
63,Old Orchard Beach,2010.0,2.0,8624.0,23.2
64,Old Orchard Beach,2012.0,2.0,8628.0,23.2
65,Skowhegan,2009.0,2.0,8637.0,23.2
66,Greene,2010.0,1.0,4350.0,23.0
67,Lyman,2010.0,1.0,4344.0,23.0
68,Old Orchard Beach,2015.0,2.0,8697.0,23.0
69,Old Orchard Beach,2016.0,2.0,8697.0,23.0
70,Old Orchard Beach,2009.0,2.0,8770.0,22.8
71,Lewiston,2010.0,8.0,36592.0,21.9
72,Raymond,2008.0,1.0,4568.0,21.9
73,Glenburn,2016.0,1.0,4646.0,21.5
74,Brewer,2013.0,2.0,9350.0,21.4
75,Brewer,2012.0,2.0,9406.0,21.3
76,Madison,2014.0,1.0,4696.0,21.3
77,Madison,2016.0,1.0,4696.0,21.3
78,Norway,2008.0,1.0,4758.0,21.0
79,Jay,2015.0,1.0,4788.0,20.9
80,Jay,2008.0,1.0,4836.0,20.7
81,Jay,2012.0,1.0,4834.0,20.7
82,Jay,2009.0,1.0,4865.0,20.6
83,Jay,2010.0,1.0,4851.0,20.6
84,Lisbon,2008.0,2.0,9769.0,20.5
85,Sabattus,2010.0,1.0,4876.0,20.5
86,Orono,2008.0,2.0,9947.0,20.1
87,Orono,2013.0,2.0,10129.0,19.7
88,Paris,2016.0,1.0,5067.0,19.7
89,Lincoln,2013.0,1.0,5095.0,19.6
90,Lincoln,2016.0,1.0,5091.0,19.6
91,Paris,2009.0,1.0,5123.0,19.5
92,Paris,2011.0,1.0,5123.0,19.5
93,Lewiston,2011.0,7.0,36330.0,19.3
94,Orono,2012.0,2.0,10357.0,19.3
95,Bridgton,2008.0,1.0,5215.0,19.2
96,Bridgton,2010.0,1.0,5210.0,19.2
97,Waterville,2015.0,3.0,15628.0,19.2
98,Lincoln,2008.0,1.0,5227.0,19.1
99,Bridgton,2009.0,1.0,5251.0,19.0
100,Biddeford,2015.0,4.0,21626.0,18.5
101,Hermon,2013.0,1.0,5525.0,18.1
102,Hermon,2012.0,1.0,5553.0,18.0
103,Rumford,2015.0,1.0,5641.0,17.7
104,Rumford,2016.0,1.0,5641.0,17.7
105,Hermon,2015.0,1.0,5678.0,17.6
106,Rumford,2013.0,1.0,5678.0,17.6
107,Rumford,2012.0,1.0,5725.0,17.5
108,Turner,2010.0,1.0,5734.0,17.4
109,Lebanon,2008.0,1.0,5809.0,17.2
110,Rumford,2010.0,1.0,5841.0,17.1
111,Lewiston,2015.0,6.0,36308.0,16.5
2,Rumford,2008.0,1,6192.0,16.1
3,Bangor,2014.0,5,32594.0,15.3
4,Belfast,2008.0,1,6653.0,15.0
5,Fairfield,2013.0,1,6674.0,15.0
6,Fairfield,2008.0,1,6764.0,14.8
7,Ellsworth,2009.0,1,7503.0,13.3
8,Farmington,2014.0,1,7519.0,13.3
9,Farmington,2011.0,1,7662.0,13.1
10,Farmington,2012.0,1,7655.0,13.1
11,Farmington,2013.0,1,7654.0,13.1
12,Old Town,2008.0,1,7647.0,13.1
13,Old Town,2013.0,1,7716.0,13.0
14,Ellsworth,2010.0,1,7741.0,12.9
15,Old Town,2010.0,1,7840.0,12.8
16,Winslow,2010.0,1,7794.0,12.8
17,Caribou,2016.0,1,7859.0,12.7
18,Caribou,2010.0,1,8189.0,12.2
19,Bangor,2010.0,4,33039.0,12.1
20,South Portland,2010.0,3,25002.0,12.0
21,Skowhegan,2012.0,1,8489.0,11.8
22,Old Orchard Beach,2011.0,1,8648.0,11.6
23,Skowhegan,2010.0,1,8589.0,11.6
24,Lisbon,2010.0,1,9009.0,11.1
25,Lisbon,2009.0,1,9148.0,10.9
26,Brewer,2011.0,1,9413.0,10.6
27,Topsham,2008.0,1,9854.0,10.1
28,Orono,2010.0,1,10362.0,9.7
29,Bangor,2012.0,2,32686.0,6.1
30,Bangor,2008.0,1,31650.0,3.2
31,Bangor,2011.0,1,32772.0,3.1
32,Islesboro,2012.0,11-15,559.0,*
33,West Bath,2016.0,6-10,1864.0,*
34,Woolwich,2012.0,6-10,3088.0,*
35,Addison,2014.0,<6,1227.0,*
36,Addison,2015.0,<6,1227.0,*
37,Alexander,2016.0,<6,483.0,*
38,Alna,2008.0,<6,670.0,*
39,Alna,2010.0,<6,709.0,*
40,Alna,2011.0,<6,711.0,*
41,Alna,2012.0,<6,708.0,*
42,Alna,2013.0,<6,708.0,*
43,Alna,2015.0,<6,715.0,*
44,Alna,2016.0,<6,715.0,*
45,Appleton,2010.0,<6,1316.0,*
46,Appleton,2011.0,<6,1318.0,*
47,Appleton,2012.0,<6,1328.0,*
48,Appleton,2014.0,<6,1345.0,*
49,Appleton,2015.0,<6,1345.0,*
50,Appleton,2016.0,<6,1345.0,*
51,Arrowsic,2008.0,<6,491.0,*
52,Arrowsic,2009.0,<6,450.0,*
53,Arrowsic,2010.0,<6,427.0,*
54,Arrowsic,2011.0,<6,421.0,*
55,Arrowsic,2012.0,<6,424.0,*
56,Arrowsic,2013.0,<6,428.0,*
57,Arrowsic,2014.0,<6,426.0,*
58,Arrowsic,2015.0,<6,426.0,*
59,Arrowsic,2016.0,<6,426.0,*
60,Ashland,2014.0,<6,1257.0,*
61,Athens,2013.0,<6,1014.0,*
62,Aurora,2013.0,<6,116.0,*
63,Baileyville,2009.0,<6,1544.0,*
64,Baldwin,2008.0,<6,1422.0,*
65,Baldwin,2010.0,<6,1525.0,*
66,Baldwin,2011.0,<6,1521.0,*
67,Baldwin,2012.0,<6,1520.0,*
68,Baldwin,2013.0,<6,1543.0,*
69,Baldwin,2014.0,<6,1561.0,*
70,Baldwin,2015.0,<6,1561.0,*
71,Baldwin,2016.0,<6,1561.0,*
72,Belmont,2010.0,<6,942.0,*
73,Belmont,2011.0,<6,936.0,*
74,Belmont,2013.0,<6,944.0,*
75,Belmont,2014.0,<6,947.0,*
76,Belmont,2015.0,<6,947.0,*
77,Bingham,2013.0,<6,903.0,*
78,Bradley,2014.0,<6,1495.0,*
79,Bradley,2015.0,<6,1495.0,*
80,Bremen,2008.0,<6,798.0,*
81,Bremen,2012.0,<6,789.0,*
82,Bremen,2013.0,<6,786.0,*
83,Bremen,2014.0,<6,791.0,*
84,Bremen,2015.0,<6,791.0,*
85,Bremen,2016.0,<6,791.0,*
86,Brooklin,2011.0,<6,837.0,*
87,Brooklin,2013.0,<6,832.0,*
88,Brooklin,2014.0,<6,830.0,*
89,Brooklin,2015.0,<6,830.0,*
90,Brooks,2008.0,<6,1086.0,*
91,Brooks,2010.0,<6,1078.0,*
92,Brooks,2012.0,<6,1106.0,*
93,Brooks,2014.0,<6,1116.0,*
94,Brooks,2015.0,<6,1116.0,*
95,Brooksville,2011.0,<6,947.0,*
96,Brooksville,2013.0,<6,928.0,*
97,Brooksville,2014.0,<6,927.0,*
98,Brooksville,2015.0,<6,927.0,*
99,Brooksville,2016.0,<6,927.0,*
100,Brownfield,2008.0,<6,1423.0,*
101,Brownfield,2010.0,<6,1597.0,*
102,Brownfield,2011.0,<6,1608.0,*
103,Brownfield,2012.0,<6,1607.0,*
104,Brownfield,2013.0,<6,1604.0,*
105,Brownfield,2014.0,<6,1597.0,*
106,Brownfield,2016.0,<6,1597.0,*
107,Buckfield,2008.0,<6,1900.0,*
108,Burlington,2012.0,<6,373.0,*
109,Burnham,2013.0,<6,1174.0,*
110,Burnham,2015.0,<6,1183.0,*
111,Burnham,2016.0,<6,1183.0,*
2,Cambridge,2016.0,<6,441.0,*
3,Canton,2009.0,<6,1049.0,*
4,Canton,2015.0,<6,946.0,*
5,Carrabassett Valley,2013.0,<6,779.0,*
6,Carrabassett Valley,2014.0,<6,791.0,*
7,Castine,2008.0,<6,1444.0,*
8,Castine,2009.0,<6,1388.0,*
9,Castine,2011.0,<6,1376.0,*
10,Castine,2012.0,<6,1364.0,*
11,Castine,2013.0,<6,1366.0,*
12,Castine,2014.0,<6,1365.0,*
13,Chebeague Island,2008.0,<6,363.0,*
14,Chebeague Island,2009.0,<6,353.0,*
15,Chebeague Island,2011.0,<6,348.0,*
16,Chebeague Island,2012.0,<6,346.0,*
17,Chebeague Island,2013.0,<6,345.0,*
18,Chebeague Island,2015.0,<6,348.0,*
19,Chebeague Island,2016.0,<6,348.0,*
20,Cherryfield,2013.0,<6,1193.0,*
21,Cherryfield,2015.0,<6,1163.0,*
22,Chesterville,2010.0,<6,1352.0,*
23,Chesterville,2014.0,<6,1321.0,*
24,Clifton,2016.0,<6,933.0,*
25,Columbia Falls,2011.0,<6,563.0,*
26,Columbia Falls,2013.0,<6,555.0,*
27,Columbia Falls,2014.0,<6,552.0,*
28,Cornish,2008.0,<6,1394.0,*
29,Cornish,2009.0,<6,1385.0,*
30,Cornish,2010.0,<6,1403.0,*
31,Cornish,2011.0,<6,1419.0,*
32,Cornish,2012.0,<6,1424.0,*
33,Cornish,2013.0,<6,1428.0,*
34,Cornish,2015.0,<6,1428.0,*
35,Cornish,2016.0,<6,1428.0,*
36,Cornville,2016.0,<6,1301.0,*
37,Cushing,2008.0,<6,1270.0,*
38,Cushing,2009.0,<6,1412.0,*
39,Cushing,2010.0,<6,1534.0,*
40,Cushing,2011.0,<6,1552.0,*
41,Cushing,2013.0,<6,1525.0,*
42,Cushing,2014.0,<6,1535.0,*
43,Cushing,2015.0,<6,1535.0,*
44,Cushing,2016.0,<6,1535.0,*
45,Cutler,2014.0,<6,503.0,*
46,Cutler,2016.0,<6,503.0,*
47,Damariscotta,2008.0,<6,1960.0,*
48,Dayton,2010.0,<6,1965.0,*
49,Dayton,2011.0,<6,1974.0,*
50,Dayton,2012.0,<6,1993.0,*
51,Dayton,2013.0,<6,2011.0,*
52,Dedham,2010.0,<6,1681.0,*
53,Dedham,2011.0,<6,1681.0,*
54,Dedham,2013.0,<6,1712.0,*
55,Dedham,2014.0,<6,1713.0,*
56,Dedham,2016.0,<6,1713.0,*
57,Deer Isle,2009.0,<6,1955.0,*
58,Deer Isle,2011.0,<6,1994.0,*
59,Denmark,2008.0,<6,1103.0,*
60,Denmark,2009.0,<6,1141.0,*
61,Denmark,2011.0,<6,1156.0,*
62,Denmark,2012.0,<6,1151.0,*
63,Denmark,2013.0,<6,1148.0,*
64,Denmark,2014.0,<6,1147.0,*
65,Denmark,2015.0,<6,1147.0,*
66,Detroit,2013.0,<6,853.0,*
67,Detroit,2016.0,<6,842.0,*
68,Dixmont,2011.0,<6,1167.0,*
69,Dixmont,2013.0,<6,1172.0,*
70,Dixmont,2014.0,<6,1174.0,*
71,Dixmont,2015.0,<6,1174.0,*
72,Dixmont,2016.0,<6,1174.0,*
73,Dresden,2009.0,<6,1690.0,*
74,Dresden,2010.0,<6,1672.0,*
75,Dresden,2012.0,<6,1681.0,*
76,Dresden,2014.0,<6,1674.0,*
77,Dresden,2015.0,<6,1674.0,*
78,Dresden,2016.0,<6,1674.0,*
79,East Machias,2009.0,<6,1296.0,*
80,East Machias,2011.0,<6,1362.0,*
81,East Machias,2012.0,<6,1360.0,*
82,East Machias,2013.0,<6,1356.0,*
83,East Machias,2014.0,<6,1404.0,*
84,East Machias,2016.0,<6,1404.0,*
85,East Millinocket,2010.0,<6,1723.0,*
86,East Millinocket,2011.0,<6,1723.0,*
87,Edgecomb,2008.0,<6,1160.0,*
88,Edgecomb,2009.0,<6,1213.0,*
89,Edgecomb,2010.0,<6,1249.0,*
90,Edgecomb,2011.0,<6,1240.0,*
91,Edgecomb,2012.0,<6,1239.0,*
92,Edgecomb,2013.0,<6,1236.0,*
93,Edgecomb,2014.0,<6,1249.0,*
94,Edgecomb,2015.0,<6,1249.0,*
95,Edgecomb,2016.0,<6,1249.0,*
96,Embden,2011.0,<6,949.0,*
97,Embden,2016.0,<6,912.0,*
98,Etna,2008.0,<6,1031.0,*
99,Etna,2016.0,<6,1266.0,*
100,Eustis,2013.0,<6,618.0,*
101,Exeter,2014.0,<6,1085.0,*
102,Fairfield,2012.0,<6,6701.0,*
103,Fairfield,2014.0,<6,6599.0,*
104,Fayette,2009.0,<6,1149.0,*
105,Fayette,2011.0,<6,1139.0,*
106,Fayette,2013.0,<6,1135.0,*
107,Fayette,2016.0,<6,1124.0,*
108,Frankfort,2010.0,<6,1124.0,*
109,Frankfort,2014.0,<6,1132.0,*
110,Frankfort,2015.0,<6,1132.0,*
111,Franklin,2009.0,<6,1485.0,*
2,Franklin,2011.0,<6,1496.0,*
3,Franklin,2014.0,<6,1502.0,*
4,Franklin,2016.0,<6,1502.0,*
5,Freedom,2009.0,<6,706.0,*
6,Freedom,2011.0,<6,728.0,*
7,Freedom,2013.0,<6,714.0,*
8,Freedom,2016.0,<6,719.0,*
9,Frenchboro,2009.0,<6,57.0,*
10,Frenchville,2014.0,<6,1024.0,*
11,Friendship,2012.0,<6,1155.0,*
12,Friendship,2013.0,<6,1142.0,*
13,Friendship,2014.0,<6,1140.0,*
14,Friendship,2015.0,<6,1140.0,*
15,Friendship,2016.0,<6,1140.0,*
16,Garland,2011.0,<6,1105.0,*
17,Garland,2016.0,<6,1083.0,*
18,Georgetown,2008.0,<6,1063.0,*
19,Georgetown,2009.0,<6,1042.0,*
20,Georgetown,2010.0,<6,1042.0,*
21,Georgetown,2012.0,<6,1043.0,*
22,Georgetown,2013.0,<6,1035.0,*
23,Georgetown,2014.0,<6,1028.0,*
24,Gouldsboro,2009.0,<6,1866.0,*
25,Gouldsboro,2011.0,<6,1750.0,*
26,Gouldsboro,2013.0,<6,1752.0,*
27,Gouldsboro,2014.0,<6,1760.0,*
28,Gouldsboro,2015.0,<6,1760.0,*
29,Gouldsboro,2016.0,<6,1760.0,*
30,Greenbush,2015.0,<6,1540.0,*
31,Greenbush,2016.0,<6,1540.0,*
32,Greenville,2016.0,<6,1602.0,*
33,Greenwood,2010.0,<6,830.0,*
34,Greenwood,2016.0,<6,850.0,*
35,Hamlin,2009.0,<6,231.0,*
36,Hanover,2009.0,<6,270.0,*
37,Harmony,2011.0,<6,927.0,*
38,Harmony,2013.0,<6,914.0,*
39,Harmony,2014.0,<6,892.0,*
40,Harrington,2011.0,<6,1009.0,*
41,Harrington,2016.0,<6,982.0,*
42,Hartford,2008.0,<6,1048.0,*
43,Hartford,2009.0,<6,1138.0,*
44,Hartford,2012.0,<6,1192.0,*
45,Hartford,2014.0,<6,1199.0,*
46,Hartford,2015.0,<6,1199.0,*
47,Hartland,2014.0,<6,1739.0,*
48,Hartland,2015.0,<6,1739.0,*
49,Hebron,2008.0,<6,1093.0,*
50,Hebron,2013.0,<6,1425.0,*
51,Hebron,2015.0,<6,1429.0,*
52,Hebron,2016.0,<6,1429.0,*
53,Hiram,2008.0,<6,1592.0,*
54,Hiram,2009.0,<6,1625.0,*
55,Hiram,2011.0,<6,1627.0,*
56,Hiram,2012.0,<6,1621.0,*
57,Hiram,2013.0,<6,1614.0,*
58,Hiram,2014.0,<6,1608.0,*
59,Hiram,2015.0,<6,1608.0,*
60,Hiram,2016.0,<6,1608.0,*
61,Hodgdon,2009.0,<6,1289.0,*
62,Hope,2008.0,<6,1428.0,*
63,Hope,2009.0,<6,1478.0,*
64,Hope,2010.0,<6,1536.0,*
65,Hope,2011.0,<6,1540.0,*
66,Hope,2012.0,<6,1577.0,*
67,Hope,2013.0,<6,1605.0,*
68,Hope,2015.0,<6,1584.0,*
69,Houlton,2014.0,<6,5849.0,*
70,Howland,2016.0,<6,1242.0,*
71,Hudson,2013.0,<6,1594.0,*
72,Hudson,2014.0,<6,1562.0,*
73,Industry,2012.0,<6,934.0,*
74,Island Falls,2009.0,<6,803.0,*
75,Isle au Haut,2010.0,<6,73.0,*
76,Isle au Haut,2016.0,<6,73.0,*
77,Islesboro,2009.0,<6,604.0,*
78,Islesboro,2010.0,<6,566.0,*
79,Islesboro,2011.0,<6,563.0,*
80,Islesboro,2015.0,<6,552.0,*
81,Jackman,2013.0,<6,854.0,*
82,Jackson,2012.0,<6,554.0,*
83,Jackson,2014.0,<6,563.0,*
84,Jackson,2015.0,<6,563.0,*
85,Jay,2014.0,<6,4788.0,*
86,Jay,2016.0,<6,4788.0,*
87,Jonesport,2016.0,<6,1310.0,*
88,Kenduskeag,2008.0,<6,1260.0,*
89,Kenduskeag,2011.0,<6,1370.0,*
90,Kenduskeag,2013.0,<6,1392.0,*
91,Kenduskeag,2016.0,<6,1369.0,*
92,Kingfield,2010.0,<6,997.0,*
93,Kingfield,2015.0,<6,999.0,*
94,Knox,2010.0,<6,806.0,*
95,Knox,2011.0,<6,829.0,*
96,Knox,2013.0,<6,829.0,*
97,Knox,2016.0,<6,828.0,*
98,Lagrange,2012.0,<6,718.0,*
99,Lamoine,2010.0,<6,1602.0,*
100,Lamoine,2011.0,<6,1624.0,*
101,Lamoine,2013.0,<6,1638.0,*
102,Lamoine,2014.0,<6,1643.0,*
103,Lamoine,2016.0,<6,1643.0,*
104,Liberty,2008.0,<6,927.0,*
105,Liberty,2012.0,<6,920.0,*
106,Liberty,2014.0,<6,924.0,*
107,Liberty,2015.0,<6,924.0,*
108,Liberty,2016.0,<6,924.0,*
109,Long Island,2008.0,<6,193.0,*
110,Long Island,2009.0,<6,216.0,*
111,Long Island,2011.0,<6,232.0,*
2,Long Island,2012.0,<6,231.0,*
3,Long Island,2013.0,<6,229.0,*
4,Long Island,2015.0,<6,226.0,*
5,Long Island,2016.0,<6,226.0,*
6,Lovell,2010.0,<6,1140.0,*
7,Lovell,2013.0,<6,1117.0,*
8,Lovell,2014.0,<6,1107.0,*
9,Machias,2014.0,<6,2131.0,*
10,Machias,2016.0,<6,2131.0,*
11,Machiasport,2012.0,<6,1119.0,*
12,Machiasport,2013.0,<6,1105.0,*
13,Machiasport,2014.0,<6,1122.0,*
14,Machiasport,2015.0,<6,1122.0,*
15,Mapleton,2009.0,<6,1948.0,*
16,Mapleton,2010.0,<6,1948.0,*
17,Mariaville,2009.0,<6,520.0,*
18,Mariaville,2015.0,<6,533.0,*
19,Marshfield,2011.0,<6,512.0,*
20,Marshfield,2012.0,<6,514.0,*
21,Marshfield,2013.0,<6,521.0,*
22,Marshfield,2016.0,<6,527.0,*
23,Matinicus Isle Plt,2013.0,<6,72.0,*
24,Mattawamkeag,2010.0,<6,687.0,*
25,Mechanic Falls,2009.0,<6,3127.0,*
26,Mechanic Falls,2014.0,<6,3040.0,*
27,Mechanic Falls,2016.0,<6,3040.0,*
28,Medway,2011.0,<6,1356.0,*
29,Mercer,2014.0,<6,655.0,*
30,Mercer,2015.0,<6,655.0,*
31,Milbridge,2012.0,<6,1325.0,*
32,Milbridge,2014.0,<6,1286.0,*
33,Milbridge,2015.0,<6,1286.0,*
34,Minot,2012.0,<6,2619.0,*
35,Minot,2013.0,<6,2627.0,*
36,Monhegan Island Plt,2011.0,<6,69.0,*
37,Monroe,2012.0,<6,899.0,*
38,Monroe,2013.0,<6,894.0,*
39,Monroe,2015.0,<6,890.0,*
40,Monroe,2016.0,<6,890.0,*
41,Montville,2008.0,<6,964.0,*
42,Montville,2009.0,<6,1007.0,*
43,Montville,2011.0,<6,1051.0,*
44,Montville,2012.0,<6,1044.0,*
45,Montville,2013.0,<6,1049.0,*
46,Montville,2014.0,<6,1057.0,*
47,Montville,2015.0,<6,1057.0,*
48,Montville,2016.0,<6,1057.0,*
49,Morrill,2011.0,<6,890.0,*
50,Morrill,2013.0,<6,903.0,*
51,Morrill,2014.0,<6,903.0,*
52,Morrill,2015.0,<6,903.0,*
53,Morrill,2016.0,<6,903.0,*
54,Mount Vernon,2008.0,<6,1636.0,*
55,Mount Vernon,2009.0,<6,1643.0,*
56,Mount Vernon,2011.0,<6,1652.0,*
57,Mount Vernon,2012.0,<6,1656.0,*
58,Mount Vernon,2013.0,<6,1655.0,*
59,Mount Vernon,2014.0,<6,1646.0,*
60,Mount Vernon,2016.0,<6,1646.0,*
61,New Portland,2012.0,<6,737.0,*
62,New Portland,2013.0,<6,723.0,*
63,New Portland,2015.0,<6,731.0,*
64,New Portland,2016.0,<6,731.0,*
65,New Sharon,2009.0,<6,1435.0,*
66,New Sharon,2010.0,<6,1407.0,*
67,New Sharon,2011.0,<6,1424.0,*
68,New Sharon,2015.0,<6,1392.0,*
69,Newburgh,2013.0,<6,1564.0,*
70,Newburgh,2014.0,<6,1554.0,*
71,Newburgh,2015.0,<6,1554.0,*
72,Newburgh,2016.0,<6,1554.0,*
73,Newcastle,2008.0,<6,1942.0,*
74,Newcastle,2010.0,<6,1752.0,*
75,Newcastle,2012.0,<6,1718.0,*
76,Newcastle,2013.0,<6,1704.0,*
77,Newcastle,2014.0,<6,1706.0,*
78,Newcastle,2015.0,<6,1706.0,*
79,Newfield,2008.0,<6,1558.0,*
80,Newfield,2009.0,<6,1522.0,*
81,Newfield,2010.0,<6,1522.0,*
82,Newfield,2012.0,<6,1557.0,*
83,Newfield,2013.0,<6,1576.0,*
84,Newfield,2014.0,<6,1588.0,*
85,Newfield,2015.0,<6,1588.0,*
86,Newry,2008.0,<6,367.0,*
87,Nobleboro,2009.0,<6,1664.0,*
88,Nobleboro,2010.0,<6,1643.0,*
89,Nobleboro,2011.0,<6,1655.0,*
90,Nobleboro,2014.0,<6,1658.0,*
91,Nobleboro,2015.0,<6,1658.0,*
92,Nobleboro,2016.0,<6,1658.0,*
93,North Haven,2011.0,<6,359.0,*
94,North Haven,2012.0,<6,359.0,*
95,North Haven,2016.0,<6,363.0,*
96,Northport,2009.0,<6,1521.0,*
97,Northport,2012.0,<6,1516.0,*
98,Northport,2013.0,<6,1523.0,*
99,Northport,2014.0,<6,1528.0,*
100,Northport,2015.0,<6,1528.0,*
101,Northport,2016.0,<6,1528.0,*
102,Ogunquit,2008.0,<6,1208.0,*
103,Ogunquit,2012.0,<6,877.0,*
104,Ogunquit,2013.0,<6,867.0,*
105,Ogunquit,2014.0,<6,862.0,*
106,Ogunquit,2016.0,<6,862.0,*
107,Old Orchard Beach,2013.0,<6,8634.0,*
108,Otis,2009.0,<6,645.0,*
109,Otis,2012.0,<6,684.0,*
110,Otisfield,2008.0,<6,1688.0,*
111,Otisfield,2009.0,<6,1754.0,*
2,Otisfield,2010.0,<6,1770.0,*
3,Otisfield,2011.0,<6,1783.0,*
4,Otisfield,2013.0,<6,1763.0,*
5,Otisfield,2014.0,<6,1764.0,*
6,Otisfield,2015.0,<6,1764.0,*
7,Otisfield,2016.0,<6,1764.0,*
8,Owls Head,2008.0,<6,1635.0,*
9,Owls Head,2009.0,<6,1591.0,*
10,Owls Head,2010.0,<6,1580.0,*
11,Owls Head,2012.0,<6,1563.0,*
12,Owls Head,2013.0,<6,1545.0,*
13,Owls Head,2014.0,<6,1543.0,*
14,Owls Head,2015.0,<6,1543.0,*
15,Palermo,2008.0,<6,1300.0,*
16,Palermo,2013.0,<6,1549.0,*
17,Palermo,2015.0,<6,1565.0,*
18,Palermo,2016.0,<6,1565.0,*
19,Palmyra,2011.0,<6,1987.0,*
20,Palmyra,2012.0,<6,1977.0,*
21,Parsonsfield,2011.0,<6,1916.0,*
22,Parsonsfield,2012.0,<6,1929.0,*
23,Parsonsfield,2015.0,<6,1956.0,*
24,Parsonsfield,2016.0,<6,1956.0,*
25,Pembroke,2011.0,<6,834.0,*
26,Penobscot,2008.0,<6,1341.0,*
27,Penobscot,2009.0,<6,1309.0,*
28,Penobscot,2011.0,<6,1254.0,*
29,Penobscot,2012.0,<6,1259.0,*
30,Penobscot,2013.0,<6,1259.0,*
31,Penobscot,2014.0,<6,1244.0,*
32,Peru,2009.0,<6,1573.0,*
33,Peru,2012.0,<6,1544.0,*
34,Peru,2015.0,<6,1559.0,*
35,Phillips,2009.0,<6,1045.0,*
36,Phillips,2010.0,<6,1028.0,*
37,Phillips,2011.0,<6,1034.0,*
38,Phillips,2013.0,<6,1012.0,*
39,Plymouth,2016.0,<6,1403.0,*
40,Porter,2008.0,<6,1496.0,*
41,Porter,2011.0,<6,1503.0,*
42,Porter,2013.0,<6,1512.0,*
43,Porter,2015.0,<6,1509.0,*
44,Porter,2016.0,<6,1509.0,*
45,Pownal,2008.0,<6,1668.0,*
46,Pownal,2010.0,<6,1474.0,*
47,Pownal,2011.0,<6,1469.0,*
48,Pownal,2012.0,<6,1475.0,*
49,Pownal,2015.0,<6,1502.0,*
50,Princeton,2016.0,<6,821.0,*
51,Prospect,2013.0,<6,717.0,*
52,Prospect,2014.0,<6,711.0,*
53,Prospect,2016.0,<6,711.0,*
54,Randolph,2008.0,<6,1963.0,*
55,Randolph,2011.0,<6,1760.0,*
56,Randolph,2014.0,<6,1731.0,*
